ID,diet,parentdiet,prod,time,feign,sex,survive,blenght,bwidth,hlenght,hwidth,generation,family,crossf,crossm,firstorsecond
113,1,,,,N,,N,0.196,0.053,0.013,0.024,N,,,,
114,1,,,,N,F,Y,0.234,0.051,0.023,0.037,P,A,,,
115,1,,,,N,F,Y,0.226,0.05,0.022,0.037,P,B,,,
116,1,,,,N,F,Y,0.233,0.051,0.021,0.038,P,C,,,
117,1,,5,35,Y,M,Y,0.228,0.057,0.016,0.038,P,P,,,
119,1,,1,120,Y,M,Y,0.193,0.054,0.01,0.025,P,S,,,
120,1,,,,N,F,Y,0.249,0.057,0.021,0.037,P,D,,,
121,1,,,,N,M,Y,0.261,0.059,0.018,0.038,P,A,,,
122,1,,0,42,Y,M,Y,0.166,0.048,0.017,0.027,P,K,,,
123,1,,,,N,F,Y,0.22,0.057,0.014,0.026,P,E,,,
124,1,,1,10,Y,M,Y,0.198,0.051,0.012,0.027,P,R,,,
125,1,,18,10,Y,,N,0.214,0.054,0.014,0.027,N,,,,
129,1,,15,120,Y,,N,0.188,0.051,0.011,0.026,N,,,,
130,1,,,,N,F,Y,0.195,0.054,0.014,0.03,P,F,,,
131,1,,,,N,F,Y,0.186,0.053,0.016,0.027,N,,,,
132,1,,10,61,Y,,N,0.226,0.057,0.015,0.028,N,,,,
133,1,,10,68,Y,,N,0.199,0.051,0.014,0.024,N,,,,
134,1,,,,N,F,Y,0.21,0.051,0.014,0.026,P,L,,,
135,1,,,,N,F,Y,0.268,0.058,0.022,0.036,P,M,,,
137,1,,,,N,M,Y,0.188,0.055,0.015,0.025,P,B,,,
138,1,,,,N,,,0.156,0.034,0.013,0.023,N,,,,
139,1,,,,N,F,Y,0.223,0.057,0.014,0.028,P,N,,,
140,1,,17,120,Y,F,Y,0.218,0.054,0.014,0.029,P,S,,,
141,1,,6,6,Y,F,Y,0.172,0.05,0.013,0.024,P,G,,,
142,1,,,,N,M,Y,0.169,0.047,0.012,0.025,P,C,,,
144,1,,,,N,M,Y,0.172,0.051,0.007,0.026,P,D,,,
145,1,,,,N,M,Y,0.213,0.048,0.01,0.023,N,,,,
147,1,,19,18,Y,,N,0.19,0.051,0.014,0.025,N,,,,
148,1,,,,N,M,Y,0.211,0.051,0.014,0.029,P,O,,,
149,1,,8,37,Y,F,Y,0.22,0.051,0.014,0.027,N,,,,
150,1,,5,51,Y,F,Y,0.154,0.055,0.013,0.025,P,H,,,
152,1,,3,48,Y,,N,0.222,0.058,0.013,0.025,N,,,,
